problem_name,mechanistic_setting,dataset,sampling_strategy,par_row,array_nr,epochs_adam,epochs_bfgs,lr_adam,stepnorm_bfgs,λ_reg,act_fct,hidden_layers,hidden_neurons,tolerance,MSE,nMSE,runtime,loss,negLL
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,540,500,1000,0.01,0.001,0.001,gelu,1,8,1E-12,0.000506099314636,0.001277025710582,11.0589833333333,-752.322896959583,-752.325001373581
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,539,500,1000,0.01,0.001,0.01,gelu,1,8,1E-12,0.000589641665848,0.00136177806525,11.2815166666667,-754.697565120844,-754.716710252221
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,507,500,1000,0.01,0.001,0.01,gelu,2,4,1E-12,0.000368264827503,0.001108568059459,13.3314166666667,-771.038122385751,-771.055854307251
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,518,500,1000,0.001,0.0001,1,gelu,3,4,1E-12,0.087756992704548,0.175545406136428,13.8589166666667,-196.160466002906,-196.8485376702
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,520,500,1000,0.001,0.0001,0.001,gelu,3,4,1E-12,0.004255949634747,0.012417911208022,13.7968166666667,-590.509371576316,-590.510551821652
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,524,500,1000,0.01,0.001,0.001,gelu,3,4,1E-12,0.000335223177122,0.000740704673903,13.4016,-783.757959492561,-783.762053056046
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,529,500,1000,0.0001,1E-05,100,gelu,1,8,1E-12,0.001694717576229,0.004126325871041,12.2204833333333,-633.57779891562,-664.909181616305
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,431,500,1000,0.1,0.01,0.01,rbf,3,4,1E-12,0.021919926712155,0.071909437334712,21.8332,-375.1488908547,-375.165767294977
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,527,500,1000,0.1,0.01,0.01,gelu,3,4,1E-12,0.000336838322053,0.000796721229692,13.9784166666667,-789.242136382441,-789.290415360151
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,532,500,1000,0.0001,1E-05,0.001,gelu,1,8,1E-12,0.001080745182532,0.001864337452664,13.00475,-696.962302001209,-696.963590716033
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,516,500,1000,0.0001,1E-05,0.001,gelu,3,4,1E-12,0.005251372348782,0.009704979751585,15.8178,-583.662491298451,-583.663137491494
